track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,streams,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
4LBCCdHfmHm9NwerX6hvrz,Magpahinga,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,2tHtWKI4qJNpDReAigDKzn,238792,2021-05-14,51,0.405,0.335,8.0,0.6468136661012844,1.0,0.0284,0.96,0.000152,0.191,0.343,0.4709253855773239,325560.0,0,opm acoustic,0.5737527908091712,0.5737527908091712,0.029395271153672027,0.18656487818035825,0.04947818894184448,0.008886270508602332,0.15192260040635208
5jLEQLkEU8Sb2fG5UQcwDM,Ako Muna,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,3CZcvxE3YyYqjF8XfvaQzn,222063,2018-03-23,54,0.547,0.573,6.0,0.8191422340683308,1.0,0.0311,0.576,0.000153,0.0676,0.193,0.5565665381408922,8041721.0,0,opm acoustic,0.5733641686147486,0.5733641686147486,0.023558936618812275,0.07532390650842935,0.05693645729753506,0.02873392091332007,0.2420826100471548
6YEO7K4hwGKh7BmNxMMvkc,Oks Lang,2U5mF0PZqGu6glnz55yY0y,John Roa,6c91nspPojdT3JhVNfNu9N,336369,2018-02-14,3,0.313,0.237,9.0,0.3658347467894355,1.0,0.0451,0.855,0.000386,0.0961,0.165,0.19273655689870783,9022767.0,0,opm acoustic,0.5712966364354001,0.5712966364354001,0.02304000833951171,0.18433251305643703,0.09942322608588387,0.0035756407573463624,0.11833197532542096
2wTxJWt2gA9a1Z94dTnPiI,Oks Lang,2U5mF0PZqGu6glnz55yY0y,John Roa,4P5GC4o3QsoFpxadnDeE9D,336369,2018-02-14,0,0.313,0.237,9.0,0.3658347467894355,1.0,0.0451,0.855,0.000386,0.0961,0.165,0.19273655689870783,18325391.0,0,opm acoustic,0.5712966364354001,0.5712966364354001,0.02304000833951171,0.18433251305643703,0.09942322608588387,0.0035756407573463624,0.11833197532542096
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,52xu8EP3ABmpNk0LUzF3ih,254249,2017-09-18,56,0.374,0.125,7.0,0.3508601889992733,1.0,0.0383,0.852,4.66e-06,0.321,0.108,0.4178563984993747,57141150.0,0,opm acoustic,0.5694847778676513,0.5694847778676513,0.01731211867780132,0.23656511200081884,0.06069802537648948,0.004272504458497502,0.11166746161874172
4ub59HeXqdYApJtkJqnvXE,I'll Never Go,7ygtjsCTrCQZAYYPOne9uE,Erik Santos,6qw65dN51ZBeGHCDIzNuHd,263056,2016-01-01,48,0.454,0.323,11.0,0.4905258056699784,1.0,0.0327,0.723,0.0,0.0855,0.28,0.5819612338474364,8486435.0,0,opm acoustic,0.56850443927885,0.56850443927885,0.03200503247216258,0.13118905934777103,0.04060510070468293,0.009155047404809257,0.21854132079172395
3iZB3VUDerY5P96rhBKwKr,Dalaga,0YrWkiT8pKvEu71t5Yllj7,Arvey,0JImrioMnXvn5H3mZezAjD,192940,2019-06-21,56,0.889,0.566,0.0,0.7824085291979648,0.0,0.0618,0.179,0.000537,0.0325,0.937,0.2957938203418091,20758081.0,3,opm rap,0.568469078274139,0.007257642976864797,0.12080879145306704,0.022527395615940363,0.568469078274139,0.16908081496085414,0.11185627671913438
5VoY18OYEE2E6RJCBd2jki,Go Up,3g7vYcdDXnqnDKYFwqXBJP,SB19,4JlsfnNH8MCDXR0ypy1zcm,189047,2020-07-31,51,0.702,0.941,0.0,0.9592440029076813,0.0,0.0428,0.4,0.0,0.146,0.922,0.4913896415172988,31634.0,5,opm rock,0.5680058908518589,0.022185252716338925,0.22762802806026078,0.025573888654107434,0.05103172740512221,0.10557521231231178,0.5680058908518589
2RgD3eO4IIGF16rR8Ch8OV,Hindi Na Nga,5HIZU0JzM0AgfItVOm4E08,This Band,1NbGA8Cinz1V3OmYKzq7eR,282442,2018-09-14,6,0.396,0.413,7.0,0.5098618851465957,1.0,0.0334,0.0877,2.95e-05,0.124,0.108,0.5619528970404336,39146477.0,5,opm rock,0.5677296072270303,0.19900758243540342,0.00809503271080994,0.0891102928546001,0.11194457023546503,0.024112914536691007,0.5677296072270303
50hVyhZM4nvizfrQe38F3l,Hindi Na Nga,5HIZU0JzM0AgfItVOm4E08,This Band,1nZbFWVgFXFLQZ067FQdV8,282442,2018-09-14,0,0.396,0.413,7.0,0.5098618851465957,1.0,0.0334,0.0877,2.95e-05,0.124,0.108,0.5619528970404336,19433150.0,5,opm rock,0.5677296072270303,0.19900758243540342,0.00809503271080994,0.0891102928546001,0.11194457023546503,0.024112914536691007,0.5677296072270303
