artist_id,artist_name,total_followers,genres,popularity
0AvtzKTYleNqdJXoZasQWG,Stephen Speaks,147934,"['acoustic pop', 'neo mellow', 'opm', 'pop rock', 'viral pop']",58
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,1854199,"['boy band', 'dance pop']",66
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,400050,"['neo mellow', 'pop rock']",62
0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,11117154,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']",78
3QLIkT4rD2FMusaqmkepbq,Rachel Platten,848243,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",62
3z0IVhtuFvt9VYUZGT98PU,Jay R,148224,['opm'],43
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,14141087,"['piano rock', 'pop', 'pop rock']",84
3FUY2gzHeIiaesXtOAdB7A,Train,4112310,"['dance pop', 'neo mellow', 'pop', 'pop rock']",72
0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,505807,['opm'],44
246dkjvS1zLTtiykXe5h60,Post Malone,38059700,"['dfw rap', 'melodic rap', 'rap']",89
23fqKkggKUBHNkbKtXEls4,Kygo,8132748,"['edm', 'pop', 'pop dance', 'tropical house']",80
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,21675451,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",82
09DdQEMQaaq0f99vqqub3V,krissy & ericka,25449,['acoustic opm'],46
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,17675324,"['art pop', 'pop']",87
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5802236,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'pop rap', 'tropical house']",75
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,11518714,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",80
2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,2242754,"['contemporary country', 'country', 'country pop', 'country road']",70
